model,response
gpt-4o-mini,"craft, Texas, gluten-free, vodka, distillery, smooth, mixology, artisan, premium, spirit"
gemini-1.5-flash,"Smooth, clean, refreshing, crisp, vodka, premium, cocktail, versatile, high-quality, classic"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, handmade, craft, gluten-free, micro-distillery, mixology, Texas."
grok-beta,"Tito, vodka, Texas, smooth, handcrafted, corn, distillation, cocktail, purity, authenticity"
llama-v3p1-70b-instruct,"Austin, Texas, Handmade, Craft, Vodka, Gluten, Free, Potato, Smooth, Affordable"
gpt-4o-mini,"craft, Texas, gluten-free, handcrafted, smooth, premium, vodka, distillery, balance, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, quality, affordable, cocktail, mixer, party, celebration"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, microdistillery, award-winning, craft, gluten-free."
grok-beta,"Tito, vodka, Texas, smooth, corn, handmade, distillery, craft, artisan, alcohol"
llama-v3p1-70b-instruct,"Texas, vodka, handmade, gluten-free, Austin, craft, spirits, cocktails, parties, infused"
gpt-4o-mini,"Vodka, Texas, Craft, Smooth, Distillery, Premium, Corn, Mixology, Quality, Celebrations"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, high-quality, classic, refreshing, versatile, cocktail"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, Austin, gluten-free, distilled, award-winning, craft."
grok-beta,"Tito's, vodka, Texas, smooth, craft, distillation, corn, gluten-free, mixable, cocktails"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Gluten-free, Potato, Vodka, Distilled, Smooth, American, Austin"
gpt-4o-mini,"Texas, distillery, craft, corn, gluten-free, smooth, cocktails, premium, vodka, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, quality,  craft,  Texas,  cocktails,  drinks"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, gluten-free, Texas, micro-distilled, award-winning, sustainable, vodka"
grok-beta,"Tito, Texas, Handmade, Vodka, Craft, Smooth, Distilled, Corn, Clear, Cucumber"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Gluten-free, Smooth, Corn, Austin, Premium, Distilled"
gpt-4o-mini,"Texas, craft, corn, smooth, premium, distilled, gluten-free, handcrafted, American, spirits"
gemini-1.5-flash,"Smooth, clean, refreshing, citrus, vodka, quality, craft, Texas, premium, cocktail"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, small-batch, microdistillery, gluten-free, award-winning."
grok-beta,"Tito, Texas, smooth, vodka, handmade, craft, distillery, cocktail, spirit, premium"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Craft, Gluten-free, Corn-based, Smooth, Refreshing, Party, America"
